FIPS_code,State_name,Area_name,State_code,Rural_urban_continuum_code_2013,Urban_influence_code_2013,"Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",POP_ESTIMATE_2019,N_POP_CHG_2019,NET_MIG_2019,R_NATURAL_INC_2019,R_INTERNATIONAL_MIG_2019,R_DOMESTIC_MIG_2019,PCTPOVALL_2019,Metro_2013,Unemployment_rate_2019,Median_Household_Income_2019
01057,Alabama,Fayette County,AL,6,6,17.40133285522461,41.26943588256836,28.933879852294922,12.395352363586426,16302.0,-143.0,-92.0,-3.114789141,0.3053714844,-5.924206798,17.0,0,3.1,44212.0
01059,Alabama,Franklin County,AL,6,6,22.798999786376953,36.5678825378418,26.647743225097656,13.985374450683594,31362.0,64.0,1.0,2.0746887967,0.9256303862,-0.893712097,16.1,0,2.8,44874.0
01061,Alabama,Geneva County,AL,3,2,19.678457260131836,35.980709075927734,31.848875045776367,12.491961479187012,26271.0,-35.0,55.0,-3.309431881,-0.266276128,2.3584457082,16.1,1,2.9,43089.0
01063,Alabama,Greene County,AL,8,6,20.78370475769043,38.615570068359375,30.48506736755371,10.115656852722168,8111.0,-98.0,-101.0,0.3676470588,0.0,-12.37745098,31.7,0,5.6,28699.0
01065,Alabama,Hale County,AL,3,2,15.996371269226074,43.372642517089844,26.408628463745117,14.222356796264648,14651.0,-98.0,-106.0,0.612244898,-0.204081633,-7.006802721,20.5,1,3.9,40745.0
01067,Alabama,Henry County,AL,3,2,20.619657516479492,32.55259704589844,29.7666015625,17.06114387512207,17205.0,32.0,78.0,-2.676130083,-0.058176741,4.5959625342,17.2,1,3.6,48597.0
01069,Alabama,Houston County,AL,3,2,13.95587158203125,31.244199752807617,33.093257904052734,21.70667266845703,105882.0,1112.0,947.0,1.5855534246,0.1044376507,8.8866946433,19.4,1,3.0,50138.0
01071,Alabama,Jackson County,AL,6,5,16.80586051940918,41.02002716064453,28.18724822998047,13.98686408996582,51626.0,5.0,121.0,-2.188925586,-0.13559716,2.4794909295,14.7,0,3.3,44322.0
01073,Alabama,Jefferson County,AL,1,1,9.935452461242676,26.378620147705078,30.30597496032715,33.37995147705078,658573.0,-856.0,-1915.0,1.6373268022,0.6980262549,-3.603939903,16.2,1,2.9,54127.0
01075,Alabama,Lamar County,AL,8,7,17.657821655273438,39.76822280883789,30.639423370361328,11.93453311920166,13805.0,-77.0,-65.0,-0.939068877,-0.072236067,-4.623108318,15.3,0,3.1,42686.0
01077,Alabama,Lauderdale County,AL,3,2,12.618306159973145,35.960445404052734,27.92032241821289,23.500926971435547,92729.0,125.0,390.0,-2.805760442,0.377698521,3.830942142,15.7,1,3.3,48188.0
01079,Alabama,Lawrence County,AL,3,2,20.69571876525879,41.198421478271484,25.53830337524414,12.567556381225586,32924.0,-17.0,66.0,-2.398846125,-0.091095422,2.0951947165,17.7,1,3.1,47797.0
01081,Alabama,Lee County,AL,3,2,9.117510795593262,23.72469139099121,31.844829559326172,35.312965393066406,164542.0,886.0,191.0,4.2169665872,1.8464463525,-0.682514823,15.5,1,2.7,54160.0
01083,Alabama,Limestone County,AL,2,2,15.313457489013672,30.396408081054688,28.55388069152832,25.73625373840332,98915.0,2738.0,2577.0,1.5377360425,0.3280503557,26.090254854,12.0,1,2.6,64729.0
01085,Alabama,Lowndes County,AL,2,2,21.651090621948242,39.648826599121094,24.015859603881836,14.684225082397461,9726.0,-248.0,-224.0,-2.538071066,-0.101522843,-22.63959391,26.6,1,5.7,33930.0
01087,Alabama,Macon County,AL,6,6,18.199949264526367,30.191972732543945,31.24740219116211,20.360673904418945,18068.0,-253.0,-161.0,-5.05647311,0.0549616642,-8.903789607,29.3,0,4.3,34281.0
01089,Alabama,Madison County,AL,2,2,8.29916000366211,20.635292053222656,28.308443069458008,42.757102966308594,372909.0,5905.0,4951.0,2.5327301994,0.6216947128,12.760959734,11.5,1,2.5,68609.0
01091,Alabama,Marengo County,AL,7,11,16.177818298339844,37.96211242675781,29.750993728637695,16.109073638916016,18863.0,-193.0,-126.0,-3.533848466,0.1582320209,-6.803976898,24.8,0,3.5,38838.0
01093,Alabama,Marion County,AL,7,11,20.425912857055664,34.82512283325195,31.985708236694336,12.763257026672363,29709.0,-41.0,65.0,-3.464572226,0.1009098707,2.0854706605,16.9,0,3.4,44675.0
01095,Alabama,Marshall County,AL,4,5,18.38949203491211,31.146900177001953,31.095300674438477,19.368305206298828,96774.0,604.0,368.0,2.4877684717,0.6737706277,3.1408076955,15.7,0,2.5,48913.0
01097,Alabama,Mobile County,AL,2,2,13.533306121826172,33.967750549316406,29.299449920654297,23.199491500854492,413210.0,-698.0,-1555.0,2.0964360587,0.6431972222,-4.403241134,17.7,1,3.7,49492.0
01099,Alabama,Monroe County,AL,7,11,14.35657024383545,47.23468017578125,24.935453414916992,13.473298072814941,20733.0,-329.0,-251.0,-3.780356502,-0.095705228,-11.91530087,23.3,0,4.9,40005.0
01101,Alabama,Montgomery County,AL,2,2,13.268247604370117,25.003652572631836,28.35226058959961,33.37583923339844,226486.0,-18.0,-914.0,3.9471070002,1.4172498289,-5.452658999,15.8,1,3.1,52711.0
01103,Alabama,Morgan County,AL,3,2,15.927884101867676,30.40204620361328,31.268943786621094,22.401124954223633,119679.0,476.0,398.0,0.7200207634,0.9460737938,2.3861153205,13.7,1,2.6,54355.0
01105,Alabama,Perry County,AL,8,4,17.16811180114746,36.91993713378906,23.13445472717285,22.777494430541992,8923.0,-147.0,-122.0,-2.890012783,0.2223086756,-13.78313789,33.9,0,5.2,29572.0
01107,Alabama,Pickens County,AL,3,2,18.489133834838867,37.17144012451172,30.217315673828125,14.122111320495605,19930.0,-50.0,-19.0,-1.503382611,0.7015785517,-1.653720872,24.3,1,3.5,40249.0
01109,Alabama,Pike County,AL,6,5,15.032646179199219,35.74981689453125,25.484506607055664,23.733028411865234,33114.0,-128.0,-131.0,0.1808427271,2.3810959069,-6.329495449,21.8,0,3.3,41271.0
01111,Alabama,Randolph County,AL,6,4,20.366378784179688,34.87575912475586,28.232759475708008,16.525100708007812,22722.0,-5.0,27.0,-1.364166428,-0.264032212,1.4521771656,17.5,0,3.0,42922.0
01113,Alabama,Russell County,AL,2,2,16.17934226989746,31.441417694091797,34.55550003051758,17.823741912841797,57961.0,177.0,-23.0,3.4904315521,-0.846688842,0.4492634671,18.9,1,2.9,43670.0
01115,Alabama,St. Clair County,AL,1,1,15.446730613708496,35.57078552246094,32.89756393432617,16.084917068481445,89512.0,858.0,851.0,0.0898038908,0.2581861859,9.294702693,11.2,1,2.7,65403.0
01117,Alabama,Shelby County,AL,1,1,7.328763008117676,19.827817916870117,29.913976669311523,42.929443359375,217702.0,2119.0,1518.0,2.8203145735,0.6323782268,6.3745571621,6.2,1,2.2,77801.0
01119,Alabama,Sumter County,AL,8,6,13.303659439086914,35.36103057861328,29.772502899169922,21.562808990478516,12427.0,-207.0,-180.0,-2.154742428,2.1547424285,-16.51969195,36.4,0,4.5,29209.0
01121,Alabama,Talladega County,AL,4,3,19.670316696166992,33.72028732299805,31.64859962463379,14.960798263549805,79978.0,-159.0,46.0,-2.498204416,0.3997127065,0.1748743091,17.4,0,3.4,47719.0
01123,Alabama,Tallapoosa County,AL,6,6,19.34628677368164,32.70659637451172,29.504308700561523,18.442808151245117,40367.0,-168.0,-16.0,-3.683468888,0.0494425354,-0.444982819,16.0,0,3.0,47100.0
01125,Alabama,Tuscaloosa County,AL,3,2,11.650755882263184,29.893999099731445,27.72439956665039,30.730846405029297,209355.0,1036.0,482.0,2.6767287406,1.0582415951,1.2497785354,16.2,1,2.7,52307.0
01127,Alabama,Walker County,AL,1,1,18.17917823791504,37.506141662597656,32.9708366394043,11.343843460083008,63521.0,-148.0,74.0,-3.443666955,-0.015724507,1.1793379983,17.3,1,3.3,45991.0
01129,Alabama,Washington County,AL,8,7,17.371761322021484,43.06363296508789,26.89934730529785,12.66525650024414,16326.0,-76.0,-51.0,-1.588853581,0.8555365436,-3.972133953,18.6,0,4.6,48864.0
01131,Alabama,Wilcox County,AL,9,10,23.545122146606445,39.471466064453125,24.486927032470703,12.496485710144043,10373.0,-226.0,-197.0,-2.765592218,0.0,-18.78695403,32.5,0,7.1,30998.0
01133,Alabama,Winston County,AL,6,4,21.187923431396484,38.21403503417969,27.76871109008789,12.829330444335938,23629.0,-64.0,19.0,-3.465618528,0.0845272812,0.71848189,16.7,0,3.3,40827.0
04001,Arizona,Apache County,AZ,6,6,19.597766876220703,32.2387580871582,35.86286544799805,12.300607681274414,71887.0,156.0,-75.0,3.2307927976,0.5152557479,-1.559693075,33.4,0,9.9,35386.0
04003,Arizona,Cochise County,AZ,3,2,12.61652946472168,24.103424072265625,40.17047119140625,23.109575271606445,125922.0,-489.0,-529.0,0.2853372329,0.5231182604,-4.715990378,16.6,1,5.7,48650.0
04005,Arizona,Coconino County,AZ,3,2,9.480019569396973,22.038997650146484,32.320655822753906,36.16032791137695,143476.0,953.0,338.0,4.2797352438,0.1748257861,2.188818842,15.9,1,5.5,58301.0
04007,Arizona,Gila County,AZ,4,3,13.674039840698242,27.854055404663086,39.73811340332031,18.73379135131836,54018.0,217.0,513.0,-5.509233067,0.1669464566,9.3490015674,21.1,0,5.5,45980.0
04009,Arizona,Graham County,AZ,7,8,14.74310302734375,28.722686767578125,41.381927490234375,15.152281761169434,38837.0,842.0,637.0,5.2842565598,0.7809246147,15.800708038,20.1,0,4.8,50685.0
04011,Arizona,Greenlee County,AZ,7,9,11.940553665161133,34.711307525634766,39.83600997924805,13.512128829956055,9498.0,50.0,-44.0,10.028502058,0.8445054365,-5.489285337,9.3,0,3.9,68066.0
04012,Arizona,La Paz County,AZ,6,4,23.06110954284668,31.146825790405273,33.7818489074707,12.010215759277344,21108.0,69.0,191.0,-5.646902508,3.2268014331,5.8367143569,22.1,0,5.8,39407.0
04013,Arizona,Maricopa County,AZ,1,1,12.274147987365723,22.39362335205078,32.6341552734375,32.69807052612305,4485414.0,83011.0,62997.0,4.4328095414,1.2421497877,12.933884665,12.2,1,4.0,68634.0
04015,Arizona,Mohave County,AZ,3,2,13.932609558105469,35.344181060791016,37.77739715576172,12.94581127166748,212181.0,2889.0,4478.0,-7.701560954,-1.167334562,22.416619807,16.0,1,5.7,49712.0
04017,Arizona,Navajo County,AZ,4,5,16.618221282958984,30.319744110107422,37.80786895751953,15.254165649414062,110924.0,682.0,355.0,2.9841838257,0.3978911768,2.8123671812,25.2,0,7.3,40676.0
04019,Arizona,Pima County,AZ,2,2,11.615518569946289,22.247907638549805,33.75336456298828,32.383209228515625,1047279.0,10725.0,10005.0,0.6641607077,1.1555628498,8.4469340873,14.0,1,4.4,56150.0
04021,Arizona,Pinal County,AZ,1,1,14.23302936553955,29.265783309936523,36.96906280517578,19.532123565673828,462789.0,15983.0,14667.0,2.7220906008,1.0708062379,31.178711405,12.1,1,4.9,62067.0
04023,Arizona,Santa Cruz County,AZ,4,5,23.401132583618164,28.660160064697266,27.506654739379883,20.432052612304688,46498.0,103.0,-201.0,6.5236347195,1.205688265,-5.53324793,18.8,0,8.5,47779.0
04025,Arizona,Yavapai County,AZ,3,2,8.95071792602539,25.840824127197266,39.33110809326172,25.877349853515625,235099.0,3327.0,4564.0,-5.397636606,-0.308436378,19.85987564,12.0,1,4.4,54242.0
04027,Arizona,Yuma County,AZ,3,2,26.746959686279297,25.707839965820312,32.51909255981445,15.02610969543457,213787.0,2175.0,903.0,6.0084767477,2.567001803,1.6784242558,20.4,1,16.4,47024.0
05001,Arkansas,Arkansas County,AR,6,6,16.091121673583984,38.89559555053711,29.244144439697266,15.76913833618164,17486.0,-240.0,-232.0,-0.567988186,-0.170396456,-13.00692946,15.8,0,3.0,52539.0
05003,Arkansas,Ashley County,AR,7,11,16.714969635009766,43.66758346557617,27.278656005859375,12.338791847229004,19657.0,-355.0,-317.0,-1.915853689,-0.201668809,-15.78058434,18.5,0,5.4,47744.0
05005,Arkansas,Baxter County,AR,7,8,11.269865989685059,36.30527114868164,34.54288101196289,17.881982803344727,41932.0,308.0,655.0,-8.281870841,-0.023936043,15.702044138,12.7,0,4.0,41950.0
05007,Arkansas,Benton County,AR,2,2,11.418171882629395,29.177663803100586,26.05300521850586,33.351158142089844,279141.0,6875.0,4930.0,6.9785113355,0.3880980836,17.493430442,8.9,1,2.6,70775.0
05009,Arkansas,Boone County,AR,7,8,12.589000701904297,33.38721466064453,37.88631057739258,16.137474060058594,37432.0,47.0,103.0,-1.416790302,-0.294050817,3.0474357432,15.1,0,3.2,50083.0
05011,Arkansas,Bradley County,AR,7,9,18.962766647338867,41.289894104003906,25.412233352661133,14.33510684967041,10763.0,-75.0,-61.0,-1.296236285,-0.46294153,-5.184945141,22.9,0,4.1,39982.0
05013,Arkansas,Calhoun County,AR,9,8,15.765401840209961,44.68657684326172,28.140974044799805,11.407048225402832,5189.0,-38.0,-29.0,-1.728110599,-0.192012289,-5.376344086,15.4,0,4.4,48415.0
05015,Arkansas,Carroll County,AR,6,6,13.721539497375488,35.9359245300293,29.12049102783203,21.222043991088867,28380.0,283.0,290.0,-0.141650583,0.8853161464,9.3843511518,14.7,0,3.1,43841.0
05017,Arkansas,Chicot County,AR,7,9,19.231287002563477,38.072837829589844,26.8109130859375,15.88496208190918,10118.0,-324.0,-285.0,-3.793774319,-0.194552529,-27.52918288,31.0,0,6.9,37014.0
05019,Arkansas,Clark County,AR,7,8,10.044795036315918,30.187532424926758,33.133399963378906,26.6342716217041,22320.0,7.0,16.0,-0.358479152,0.089619788,0.6273385163,20.6,0,3.8,44105.0
05021,Arkansas,Clay County,AR,7,9,17.529691696166992,41.900238037109375,28.0,12.57007122039795,14551.0,-212.0,-170.0,-2.865525005,0.0,-11.59855359,18.7,0,4.9,40686.0
05023,Arkansas,Cleburne County,AR,6,6,14.053388595581055,42.8342170715332,27.566469192504883,15.545926094055176,24919.0,-75.0,84.0,-6.331015968,-0.240418328,3.6062749184,14.1,0,4.5,46214.0
05025,Arkansas,Cleveland County,AR,3,2,10.422881126403809,46.552024841308594,26.776626586914062,16.248464584350586,7956.0,-39.0,-26.0,-1.62999185,-0.125383988,-3.134599712,13.7,1,3.9,53773.0
05027,Arkansas,Columbia County,AR,7,8,14.1259126663208,41.71611785888672,24.520837783813477,19.63713264465332,23457.0,-129.0,-111.0,-0.722743022,0.3826286589,-5.101715452,21.2,0,4.5,42964.0
05029,Arkansas,Conway County,AR,6,6,12.950434684753418,43.84923553466797,27.578351974487305,15.621979713439941,20846.0,21.0,9.0,0.6719301193,-0.239975043,0.6719301193,15.6,0,4.3,46924.0
05031,Arkansas,Craighead County,AR,3,2,10.675134658813477,34.581809997558594,28.510526657104492,26.232526779174805,110332.0,1516.0,1091.0,3.8877835983,0.4289338712,9.5278076916,16.9,1,2.8,47766.0
05033,Arkansas,Crawford County,AR,2,2,15.020352363586426,37.279911041259766,31.732770919799805,15.966962814331055,63257.0,-122.0,-222.0,1.5793297325,0.0789664866,-3.585078493,18.3,1,3.3,44600.0
05035,Arkansas,Crittenden County,AR,1,1,17.38947868347168,34.772499084472656,30.400102615356445,17.437917709350586,47955.0,-408.0,-598.0,3.9037355427,-0.145351855,-12.2718495,22.4,1,4.2,41976.0
05037,Arkansas,Cross County,AR,6,4,16.355424880981445,41.500911712646484,27.716493606567383,14.427168846130371,16419.0,-211.0,-200.0,-0.786710642,0.1210324064,-12.22427305,17.8,0,4.2,45273.0
05039,Arkansas,Dallas County,AR,6,6,16.05442237854004,44.06219482421875,28.027210235595703,11.856170654296875,7009.0,-143.0,-135.0,-0.847397783,-0.282465928,-18.78398418,18.8,0,4.7,41314.0
05041,Arkansas,Desha County,AR,6,6,18.93687629699707,44.60771942138672,22.39969253540039,14.05571174621582,11361.0,-146.0,-109.0,-3.235962918,-0.087458457,-9.445513381,25.4,0,4.5,37005.0
05043,Arkansas,Drew County,AR,6,6,13.086356163024902,35.288570404052734,28.848297119140625,22.776777267456055,18219.0,-109.0,-139.0,1.6417216187,-0.27362027,-7.33302323,18.5,0,5.2,44162.0
05045,Arkansas,Faulkner County,AR,2,2,8.166707992553711,30.463035583496094,30.81363868713379,30.556617736816406,126007.0,869.0,273.0,4.7462621195,0.3265046089,1.8475382747,14.4,1,3.0,58482.0
05047,Arkansas,Franklin County,AR,6,6,16.276941299438477,41.02521514892578,30.556711196899414,12.141133308410645,17715.0,-49.0,-35.0,-0.676456495,-0.056371375,-1.916626737,16.2,0,3.4,45670.0
05049,Arkansas,Fulton County,AR,9,9,14.405152320861816,35.82646179199219,37.5324821472168,12.235905647277832,12477.0,169.0,237.0,-5.406495864,0.4034698406,18.721000605,17.7,0,4.0,32926.0
05051,Arkansas,Garland County,AR,3,2,10.884743690490723,31.42989158630371,36.04740524291992,21.637958526611328,99386.0,420.0,699.0,-2.782931354,-0.272243285,7.3203194321,16.9,1,3.7,45786.0
05053,Arkansas,Grant County,AR,2,2,9.198113441467285,43.789306640625,28.30188751220703,18.710691452026367,18265.0,85.0,101.0,-0.878035396,-0.329263273,5.8718617094,12.1,1,3.2,58566.0
05055,Arkansas,Greene County,AR,4,5,11.757664680480957,45.86021041870117,26.225311279296875,16.15681266784668,45325.0,-14.0,-94.0,1.8088767317,-0.154416306,-1.919174093,15.5,0,3.5,47098.0
05057,Arkansas,Hempstead County,AR,6,6,17.38432502746582,36.8204345703125,30.706958770751953,15.088282585144043,21532.0,-153.0,-212.0,2.6841289307,-0.601615105,-9.209338918,18.5,0,3.8,40867.0
05059,Arkansas,Hot Spring County,AR,6,5,14.16869068145752,38.9988899230957,33.54875946044922,13.283661842346191,33771.0,99.0,118.0,-0.533784084,-0.029654671,3.5289058909,20.2,0,3.6,45860.0
05061,Arkansas,Howard County,AR,6,6,14.770526885986328,38.389705657958984,33.2650032043457,13.574763298034668,13202.0,-100.0,-101.0,0.0754603079,-0.150920616,-7.47057048,16.8,0,3.3,41427.0
05063,Arkansas,Independence County,AR,7,8,13.979778289794922,37.62041091918945,30.86139678955078,17.53841209411621,37825.0,57.0,-24.0,2.1959705264,-0.185202334,-0.449777096,15.9,0,4.0,47903.0
05065,Arkansas,Izard County,AR,9,10,16.213830947875977,38.01863479614258,32.70230484008789,13.065228462219238,13629.0,47.0,115.0,-5.071478446,0.1469993753,8.3054647018,15.9,0,5.5,40233.0
05067,Arkansas,Jackson County,AR,6,6,19.832881927490234,42.483821868896484,27.533382415771484,10.149913787841797,16719.0,-34.0,-14.0,-1.135277247,-0.119502868,-0.717017208,22.9,0,6.5,38636.0
05069,Arkansas,Jefferson County,AR,3,2,13.855960845947266,38.887939453125,29.264028549194336,17.992069244384766,66824.0,-1243.0,-1208.0,-0.578244657,0.0889607164,-17.99971829,24.4,1,5.5,40555.0
05071,Arkansas,Johnson County,AR,7,9,21.112449645996094,40.6520881652832,22.857471466064453,15.377991676330566,26578.0,-81.0,-154.0,2.7800214137,-0.150271428,-5.635178541,17.5,0,4.6,40396.0
05073,Arkansas,Lafayette County,AR,8,7,20.293697357177734,40.220272064208984,23.679380416870117,15.806649208068848,6624.0,-55.0,-21.0,-4.961286928,-0.150342028,-3.006840562,25.5,0,4.7,37164.0
05075,Arkansas,Lawrence County,AR,6,6,15.869623184204102,38.649925231933594,30.073915481567383,15.406537055969238,16406.0,-26.0,29.0,-3.349777697,-0.182715147,1.9489615689,18.4,0,4.2,39604.0
05077,Arkansas,Lee County,AR,7,9,24.1634578704834,40.3908805847168,24.696475982666016,10.749185562133789,8857.0,-119.0,-80.0,-4.373913531,0.0,-8.97213032,35.4,0,4.5,30421.0
05079,Arkansas,Lincoln County,AR,3,2,18.91603660583496,47.29493713378906,24.054683685302734,9.734341621398926,13024.0,-160.0,-112.0,-3.51037851,0.0763125763,-8.623321123,27.1,1,4.4,44272.0
05081,Arkansas,Little River County,AR,3,2,11.042098045349121,44.651485443115234,31.76903533935547,12.537382125854492,12259.0,-38.0,3.0,-3.257859586,-0.244339469,0.4886789379,17.8,1,4.3,43257.0
05083,Arkansas,Logan County,AR,6,6,13.769678115844727,45.084590911865234,27.800640106201172,13.345090866088867,21466.0,-207.0,-146.0,-2.82806741,0.4636176082,-7.232434688,17.4,0,4.3,42249.0
05085,Arkansas,Lonoke County,AR,2,2,10.871637344360352,36.68296813964844,31.8377742767334,20.60761833190918,73309.0,-82.0,-254.0,2.2903885481,-0.163599182,-3.29925017,10.7,1,3.2,62782.0
05087,Arkansas,Madison County,AR,2,2,19.357725143432617,43.8590202331543,22.560157775878906,14.22309684753418,16576.0,214.0,147.0,4.0075292975,-0.303600704,9.2294614124,16.4,1,2.5,48016.0
05089,Arkansas,Marion County,AR,9,10,13.492063522338867,37.515872955322266,31.920635223388672,17.071428298950195,16694.0,29.0,168.0,-8.21367547,-0.239815342,10.312059714,16.3,0,4.0,38760.0
05091,Arkansas,Miller County,AR,3,2,13.546407699584961,35.308990478515625,34.38859176635742,16.756010055541992,43257.0,-105.0,-151.0,1.1313914961,-0.646509426,-2.840023551,14.1,1,4.1,50905.0
05093,Arkansas,Mississippi County,AR,4,3,18.850685119628906,38.84627914428711,28.465009689331055,13.838024139404297,40651.0,-585.0,-671.0,2.0027599008,-0.464054123,-15.9243836,23.0,0,5.1,39990.0
05095,Arkansas,Monroe County,AR,7,9,21.14467430114746,41.27583312988281,24.88076400756836,12.698728561401367,6701.0,-179.0,-133.0,-6.921434357,0.0,-19.58618658,25.5,0,4.3,34289.0
